id,price,neighbourhood_cleansed,borough,latitude,longitude,property_type_cleaned,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_score_avg,months_since_last_review,host_years_experience,host_is_superhost,calculated_host_listings_count,nearest_subway_km,listing_count,avg_price,median_price,avg_review_score,listing_density,subway_station_count,subway_density,crime_count,crime_per_1000_listings
802528180126158845,125.0,Bushwick,Brooklyn,40.70509031518221,-73.920870461594,Entire condo,Entire home/apt,2,1.0,1.0,2.0,60,180,170,1,5.0,25.2,14.5,f,1,0.24931893341206948,755,116.03576158940398,95.0,4.761791863765374,1497472268298.8037,12.0,23800883734.55052,40000,52980.132450331126
802587549750267128,269.0,Sunnyside,Queens,40.73971722846049,-73.91774118583002,Entire rental unit,Entire home/apt,8,1.0,1.0,4.0,30,1125,365,17,4.847142857142857,17.8,2.4,f,7,0.3414852540863474,132,116.03030303030303,99.0,4.776471861471862,376533484496.0133,4.0,11410105590.788282,25000,189393.9393939394
802646882034233358,407.0,Clinton Hill,Brooklyn,40.6820059,-73.96747599999999,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,31,1125,182,1,5.0,24.9,8.3,f,1194,0.20234910356387537,178,227.59550561797752,181.5,4.826252006420546,1172900957584.2253,3.0,19767993667.149864,40000,224719.1011235955
802687894128187641,50.0,Fordham,Bronx,40.8581755,-73.9004171,Private room in rental unit,Private room,1,1.0,1.0,1.0,30,1125,89,1,5.0,25.7,2.3,f,1,0.20653874814628737,30,87.3,66.5,4.766476190476191,110121447217.8569,6.0,22024289443.57138,30000,1000000.0
802701696358654675,150.0,Crown Heights,Brooklyn,40.67259791119022,-73.93942569286,Entire home,Entire home/apt,5,1.5,2.0,3.0,30,1125,365,0,4.827142857142858,120.0,2.4,f,9,0.4124733495650233,644,154.40217391304347,120.0,4.783937444543035,1011296175135.8604,7.0,10992349729.737614,40000,62111.801242236026
808628348851918075,311.0,Midtown,Manhattan,40.75362807326112,-73.973642416155,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,331,0,4.827142857142858,120.0,3.2,f,40,0.31876878917646634,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808628438347816708,311.0,Midtown,Manhattan,40.75156,-73.97131,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,331,0,4.827142857142858,120.0,3.2,f,40,0.4638103224458469,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808628534079968724,311.0,Midtown,Manhattan,40.75212,-73.97337,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,331,0,4.827142857142858,120.0,3.2,f,40,0.27032660070296954,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808629336659570094,312.0,Midtown,Manhattan,40.752290177710755,-73.97160952069294,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,323,0,4.827142857142858,120.0,3.2,f,40,0.4423719911807607,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808629343999219473,312.0,Midtown,Manhattan,40.753533802301575,-73.97319372738554,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,323,0,4.827142857142858,120.0,3.2,f,40,0.34688039439696833,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808629391209329400,312.0,Midtown,Manhattan,40.75327,-73.97177,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,323,0,4.827142857142858,120.0,3.2,f,40,0.3763132241574395,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
